epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,97.5399,0.62706,0.50924,1.08614,0.69644,0.38279,0.46054,0.28857,1.82185,2.32893,1.50887,1.90949e-05,1.90949e-05,1.90949e-05
83,98.65,0.72697,0.87128,1.13524,0.69644,0.38279,0.46054,0.28857,1.82185,2.32893,1.50887,1.83646e-05,1.83646e-05,1.83646e-05
84,100.085,0.49829,0.53762,1.0097,0.69457,0.37813,0.45833,0.28573,1.8204,2.24908,1.51477,1.76107e-05,1.76107e-05,1.76107e-05
85,101.173,0.67291,0.82714,1.06765,0.69457,0.37813,0.45833,0.28573,1.8204,2.24908,1.51477,1.68333e-05,1.68333e-05,1.68333e-05
86,102.456,0.92377,0.94563,1.43183,0.69457,0.37813,0.45833,0.28573,1.8204,2.24908,1.51477,1.60323e-05,1.60323e-05,1.60323e-05
87,103.545,0.87588,0.94211,1.25626,0.69457,0.37813,0.45833,0.28573,1.8204,2.24908,1.51477,1.52077e-05,1.52077e-05,1.52077e-05
88,105.015,0.79552,0.62776,1.24404,0.73763,0.44805,0.47054,0.29402,1.83093,2.21369,1.50436,1.43596e-05,1.43596e-05,1.43596e-05
89,106.091,0.85282,0.88337,1.21341,0.73763,0.44805,0.47054,0.29402,1.83093,2.21369,1.50436,1.34879e-05,1.34879e-05,1.34879e-05
90,107.339,0.69787,0.78562,1.04628,0.73763,0.44805,0.47054,0.29402,1.83093,2.21369,1.50436,1.25927e-05,1.25927e-05,1.25927e-05
91,108.383,0.54446,0.59537,1.13136,0.73763,0.44805,0.47054,0.29402,1.83093,2.21369,1.50436,1.16739e-05,1.16739e-05,1.16739e-05
92,109.65,0.46818,0.43398,0.86843,0.82867,0.49974,0.51229,0.30137,1.83011,2.27139,1.50535,1.07315e-05,1.07315e-05,1.07315e-05
93,110.711,0.64551,0.55135,1.25875,0.82867,0.49974,0.51229,0.30137,1.83011,2.27139,1.50535,9.76562e-06,9.76562e-06,9.76562e-06
94,111.6,0.62762,0.49934,1.02164,0.82867,0.49974,0.51229,0.30137,1.83011,2.27139,1.50535,8.77613e-06,8.77613e-06,8.77613e-06
95,112.569,0.7293,0.68824,1.25503,0.82867,0.49974,0.51229,0.30137,1.83011,2.27139,1.50535,7.76308e-06,7.76308e-06,7.76308e-06
96,113.807,0.56631,0.57502,1.05191,0.79611,0.5,0.51395,0.30303,1.77637,2.23319,1.47138,6.72648e-06,6.72648e-06,6.72648e-06
97,114.723,0.47683,0.49433,0.94001,0.79611,0.5,0.51395,0.30303,1.77637,2.23319,1.47138,5.6663e-06,5.6663e-06,5.6663e-06
98,115.617,0.63036,0.55255,1.14137,0.79611,0.5,0.51395,0.30303,1.77637,2.23319,1.47138,4.58257e-06,4.58257e-06,4.58257e-06
99,116.487,0.48223,0.43022,0.89274,0.79611,0.5,0.51395,0.30303,1.77637,2.23319,1.47138,3.47528e-06,3.47528e-06,3.47528e-06
100,117.659,0.4984,0.43114,0.94081,0.7892,0.5,0.51203,0.29436,1.73721,2.207,1.44623,2.34442e-06,2.34442e-06,2.34442e-06
