epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,16.0004,0.98875,2.09191,0.98953,0.52889,0.05625,0.08377,0.04829,1.77871,3.68637,1.56206,9.77512e-05,9.77512e-05,9.77512e-05
106,16.1362,1.10552,2.07978,1.03454,0.52889,0.05625,0.08377,0.04829,1.77871,3.68637,1.56206,9.75565e-05,9.75565e-05,9.75565e-05
107,16.2723,0.90222,1.86271,1.02818,0.52889,0.05625,0.08377,0.04829,1.77871,3.68637,1.56206,9.73618e-05,9.73618e-05,9.73618e-05
108,16.4181,0.87373,1.85511,0.98904,0.52575,0.05952,0.08426,0.04976,1.76259,3.63593,1.53321,9.71671e-05,9.71671e-05,9.71671e-05
109,16.5503,0.91036,1.80377,0.98507,0.52575,0.05952,0.08426,0.04976,1.76259,3.63593,1.53321,9.69724e-05,9.69724e-05,9.69724e-05
110,16.7818,0.95491,1.68859,0.99114,0.52575,0.05952,0.08426,0.04976,1.76259,3.63593,1.53321,9.67777e-05,9.67777e-05,9.67777e-05
111,16.9185,0.91774,1.82217,1.00513,0.52575,0.05952,0.08426,0.04976,1.76259,3.63593,1.53321,9.6583e-05,9.6583e-05,9.6583e-05
112,17.0657,0.92518,2.06586,1.12796,0.53535,0.07051,0.08679,0.05161,1.75151,3.58361,1.52244,9.63883e-05,9.63883e-05,9.63883e-05
113,17.2053,0.97034,2.00515,1.01391,0.53535,0.07051,0.08679,0.05161,1.75151,3.58361,1.52244,9.61936e-05,9.61936e-05,9.61936e-05
114,17.3467,0.9915,1.81121,0.98198,0.53535,0.07051,0.08679,0.05161,1.75151,3.58361,1.52244,9.59989e-05,9.59989e-05,9.59989e-05
115,17.4944,0.94066,1.80639,0.98956,0.53535,0.07051,0.08679,0.05161,1.75151,3.58361,1.52244,9.58042e-05,9.58042e-05,9.58042e-05
116,17.6484,0.87416,1.73227,1.02882,0.522,0.06757,0.08539,0.05377,1.73853,3.53936,1.52852,9.56095e-05,9.56095e-05,9.56095e-05
117,17.7906,0.84985,1.68412,1.03739,0.522,0.06757,0.08539,0.05377,1.73853,3.53936,1.52852,9.54148e-05,9.54148e-05,9.54148e-05
118,17.9384,0.88563,2.10551,1.0124,0.522,0.06757,0.08539,0.05377,1.73853,3.53936,1.52852,9.52201e-05,9.52201e-05,9.52201e-05
119,18.0833,0.92096,1.86251,1.13707,0.522,0.06757,0.08539,0.05377,1.73853,3.53936,1.52852,9.50254e-05,9.50254e-05,9.50254e-05
120,18.2378,0.90536,1.49163,0.99649,0.53736,0.07143,0.0948,0.05568,1.72085,3.46365,1.51919,9.48307e-05,9.48307e-05,9.48307e-05
121,18.4701,0.99672,2.1043,1.01952,0.53736,0.07143,0.0948,0.05568,1.72085,3.46365,1.51919,9.4636e-05,9.4636e-05,9.4636e-05
122,18.6179,0.92781,1.45671,1.02032,0.53736,0.07143,0.0948,0.05568,1.72085,3.46365,1.51919,9.44413e-05,9.44413e-05,9.44413e-05
123,18.7664,0.94248,1.66283,0.95748,0.53736,0.07143,0.0948,0.05568,1.72085,3.46365,1.51919,9.42466e-05,9.42466e-05,9.42466e-05
124,18.9171,0.9594,1.81599,1.04298,0.52984,0.07143,0.09335,0.05273,1.69648,3.48078,1.48921,9.40519e-05,9.40519e-05,9.40519e-05
125,19.0618,0.97251,1.70134,1.09911,0.52984,0.07143,0.09335,0.05273,1.69648,3.48078,1.48921,9.38572e-05,9.38572e-05,9.38572e-05
126,19.1994,0.90438,1.78273,1.04059,0.52984,0.07143,0.09335,0.05273,1.69648,3.48078,1.48921,9.36625e-05,9.36625e-05,9.36625e-05
127,19.3351,0.78117,1.47938,0.96013,0.52984,0.07143,0.09335,0.05273,1.69648,3.48078,1.48921,9.34678e-05,9.34678e-05,9.34678e-05
128,19.4819,0.94074,1.38785,1.03068,0.53927,0.07738,0.09444,0.05198,1.69044,3.52279,1.49576,9.32731e-05,9.32731e-05,9.32731e-05
129,19.6161,0.88885,1.66643,0.98971,0.53927,0.07738,0.09444,0.05198,1.69044,3.52279,1.49576,9.30784e-05,9.30784e-05,9.30784e-05
130,19.7502,0.86403,1.74427,1.07325,0.53927,0.07738,0.09444,0.05198,1.69044,3.52279,1.49576,9.28837e-05,9.28837e-05,9.28837e-05
131,19.8882,0.86962,1.43168,0.94221,0.53927,0.07738,0.09444,0.05198,1.69044,3.52279,1.49576,9.2689e-05,9.2689e-05,9.2689e-05
